variable,group,value
Census Tract 8209.02,15min,5.723439537
Census Tract 8210.01,15min,6.001211635
Census Tract 8278.05,15min,5.330454862
Census Tract 8280,15min,5.698844655
Census Tract 8281,15min,5.367332305
Census Tract 8282.02,15min,5.338574863
Census Tract 2831,15min,7.561530116
Census Tract 2838,15min,6.746195967
Census Tract 4107,15min,9.00574348
Census Tract 4108,15min,5.151326206
Census Tract 8290,15min,5.316103458
Census Tract 4109,15min,9.095215337
Census Tract 4110,15min,8.87926798
Census Tract 4111,15min,7.716730473
Census Tract 4112,15min,7.923591054
Census Tract 4606,15min,5.705656115
Census Tract 4607,15min,5.124888848
Census Tract 4604,15min,5.026290931
Census Tract 4605,15min,4.981111322
Census Tract 4610,15min,5.781778762
Census Tract 8292,15min,9.634388771
Census Tract 8293.01,15min,5.656965634
Census Tract 8293.02,15min,6.225491143
Census Tract 8294.01,15min,6.402468699
Census Tract 8052.02,15min,5.658777301
Census Tract 8053.01,15min,5.402713747
Census Tract 8053.02,15min,5.499741675
Census Tract 8054.01,15min,5.103692746
Census Tract 7704,15min,5.643089466
Census Tract 8001,15min,5.729148012
Census Tract 8003,15min,5.331647354
Census Tract 8129,15min,5.761219338
Census Tract 8130,15min,5.844682885
Census Tract 8131,15min,9.460064014
Census Tract 8005,15min,5.805498597
Census Tract 8211.01,15min,5.142148426
Census Tract 8211.02,15min,5.314550017
Census Tract 8213,15min,5.662516022
Census Tract 8210.02,15min,5.517165032
Census Tract 8284.01,15min,5.50582938
Census Tract 8284.02,15min,2.850014495
Census Tract 8285.04,15min,6.360412015
Census Tract 4201,15min,5.230071108
Census Tract 4202,15min,5.10375071
Census Tract 4204,15min,5.943666247
Census Tract 4207,15min,3.629574502
Census Tract 8054.02,15min,7.63741753
Census Tract 8055.01,15min,2.64362535
Census Tract 8296,15min,6.988727975
Census Tract 4208,15min,5.942155912
Census Tract 4701,15min,8.336960185
Census Tract 4801,15min,5.26756256
Census Tract 4802,15min,8.920111586
Census Tract 4803,15min,10.6255042
Census Tract 4804,15min,6.92882237
Census Tract 8055.02,15min,7.904059523
Census Tract 8056,15min,9.898342227
Census Tract 8300.01,15min,0.436200983
Census Tract 8300.06,15min,3.012423374
Census Tract 6504,15min,7.488064073
Census Tract 6505,15min,4.874503847
Census Tract 6604,15min,6.017591448
Census Tract 8006,15min,13.18017632
Census Tract 8010,15min,6.741527006
Census Tract 8011,15min,10.31538849
Census Tract 8012,15min,8.993952785
Census Tract 8114.02,15min,9.28176886
Census Tract 8134,15min,14.63714752
Census Tract 8132,15min,15.96285721
Census Tract 8214.01,15min,9.036044747
Census Tract 8057.02,15min,9.117140463
Census Tract 8058.02,15min,8.69819944
Census Tract 8214.02,15min,8.494799504
Census Tract 8216,15min,11.39488072
Census Tract 8217,15min,11.35070921
Census Tract 2909,15min,7.456428264
Census Tract 2912,15min,12.91483948
Census Tract 4212,15min,9.304727632
Census Tract 8060.01,15min,12.0473818
Census Tract 8060.03,15min,13.27652695
Census Tract 8013,15min,13.12511548
Census Tract 8014,15min,9.829187879
Census Tract 8016.03,15min,9.892416497
Census Tract 8017.01,15min,13.64731698
Census Tract 8060.04,15min,13.88499201
Census Tract 8063,15min,10.72132953
Census Tract 8064,15min,12.51786318
Census Tract 8065.01,15min,9.858566779
Census Tract 2715,15min,10.81640414
Census Tract 2922,15min,12.16180483
Census Tract 2924,15min,14.26724702
Census Tract 2925,15min,9.056920384
Census Tract 8067,15min,5.166910678
Census Tract 8068.01,15min,2.710396622
Census Tract 8068.02,15min,2.03809043
Census Tract 8069,15min,2.39825877
Census Tract 8070,15min,4.108946087
Census Tract 8019.01,15min,6.948583175
Census Tract 8019.02,15min,6.155360132
Census Tract 8021,15min,5.848888955
Census Tract 8022,15min,7.525656019
Census Tract 2718,15min,7.128246661
Census Tract 2801,15min,7.613144923
Census Tract 3012,15min,7.664248741
Census Tract 3006,15min,5.795351805
Census Tract 3007,15min,9.968518591
Census Tract 3011,15min,7.561508657
Census Tract 4805,15min,9.908949096
Census Tract 4903,15min,8.132400743
Census Tract 4905,15min,2.958237847
Census Tract 8027.02,15min,2.706391766
Census Tract 5202,15min,4.362226369
Census Tract 5203,15min,3.015197468
Census Tract 5204,15min,3.396535402
Census Tract 5205,15min,3.029342726
Census Tract 5206,15min,6.68697098
Census Tract 6605,15min,4.281065581
Census Tract 6606,15min,4.049785491
Census Tract 6607,15min,4.246995036
Census Tract 6608,15min,8.244988432
