variable,group,value,id
Census Tract 2603,15min,0.200968,17031260300
Census Tract 2604,15min,0.272912,17031260400
Census Tract 2605,15min,0.248263,17031260500
Census Tract 2606,15min,0.207487,17031260600
Census Tract 2607,15min,0.146848,17031260700
Census Tract 2608,15min,0.126595,17031260800
Census Tract 2609,15min,0.206733,17031260900
Census Tract 2610,15min,0.190678,17031261000
Census Tract 2705,15min,0.115058,17031270500
Census Tract 2712,15min,0.141481,17031271200
Census Tract 2713,15min,0.0559259,17031271300
Census Tract 2714,15min,0.0834954,17031271400
Census Tract 2715,15min,0.0473312,17031271500
Census Tract 2718,15min,0.195249,17031271800
Census Tract 2801,15min,0.0432838,17031280100
Census Tract 2804,15min,0.0967454,17031280400
Census Tract 2808,15min,0.0969552,17031280800
Census Tract 2809,15min,0.150804,17031280900
Census Tract 2819,15min,0.0188628,17031281900
Census Tract 2827,15min,0.308932,17031282700
Census Tract 2828,15min,0.378438,17031282800
Census Tract 2831,15min,0.02361,17031283100
Census Tract 2832,15min,0.0499342,17031283200
Census Tract 2838,15min,0.234344,17031283800
Census Tract 2909,15min,0.217329,17031290900
Census Tract 2912,15min,0.125895,17031291200
Census Tract 2916,15min,0.0318015,17031291600
Census Tract 2922,15min,0.152814,17031292200
Census Tract 2924,15min,0.0752656,17031292400
Census Tract 2925,15min,0.144462,17031292500
Census Tract 3005,15min,0.102858,17031300500
Census Tract 3006,15min,0.0901345,17031300600
Census Tract 3007,15min,0.0985335,17031300700
Census Tract 3008,15min,0.0290079,17031300800
Census Tract 3009,15min,0.693662,17031300900
Census Tract 3011,15min,0.161127,17031301100
Census Tract 3012,15min,0.0882132,17031301200
Census Tract 3016,15min,0.103669,17031301600
Census Tract 3017.01,15min,0.0544329,17031301701
Census Tract 3017.02,15min,0.136952,17031301702
Census Tract 3018.01,15min,0.151353,17031301801
Census Tract 3018.02,15min,0.0280331,17031301802
Census Tract 3018.03,15min,0.130605,17031301803
Census Tract 3102,15min,0.0792384,17031310200
Census Tract 3103,15min,0.045526,17031310300
Census Tract 3104,15min,0.0601349,17031310400
Census Tract 3105,15min,0.102199,17031310500
Census Tract 3106,15min,0.0711167,17031310600
Census Tract 3107,15min,0.0641121,17031310700
Census Tract 3108,15min,0.0850031,17031310800
Census Tract 3109,15min,0.142924,17031310900
Census Tract 3201,15min,0.187006,17031320100
Census Tract 3204,15min,0.0548006,17031320400
Census Tract 3206,15min,0.00516555,17031320600
Census Tract 3301,15min,0.0636911,17031330100
Census Tract 3302,15min,0.140691,17031330200
Census Tract 3403,15min,0.148098,17031340300
Census Tract 3404,15min,0.117167,17031340400
Census Tract 3405,15min,0.0848034,17031340500
Census Tract 3406,15min,0.10182,17031340600
Census Tract 3501,15min,0.0593696,17031350100
Census Tract 3504,15min,0.204824,17031350400
Census Tract 3510,15min,0.918167,17031351000
Census Tract 3511,15min,0.12912,17031351100
Census Tract 3514,15min,0.083326,17031351400
Census Tract 3515,15min,0.096658,17031351500
Census Tract 3602,15min,0.0798152,17031360200
Census Tract 3801,15min,0.153587,17031380100
Census Tract 3802,15min,1.0153,17031380200
Census Tract 3805,15min,0.139858,17031380500
Census Tract 3807,15min,0.0703132,17031380700
Census Tract 3812,15min,0.11432,17031381200
Census Tract 3814,15min,0.0137491,17031381400
Census Tract 3815,15min,0.0775632,17031381500
Census Tract 3818,15min,0.123622,17031381800
Census Tract 3819,15min,0.0541564,17031381900
Census Tract 3901,15min,0.0244447,17031390100
Census Tract 3902,15min,0.198393,17031390200
Census Tract 3903,15min,0.701638,17031390300
Census Tract 3904,15min,0.14813,17031390400
Census Tract 3905,15min,0.930371,17031390500
Census Tract 3906,15min,0.142956,17031390600
Census Tract 3907,15min,0.0765329,17031390700
Census Tract 4003,15min,0.746201,17031400300
Census Tract 4004,15min,0.176961,17031400400
Census Tract 4005,15min,0.127732,17031400500
Census Tract 4008,15min,0.222765,17031400800
Census Tract 4101,15min,0.0476475,17031410100
Census Tract 4102,15min,0.0928452,17031410200
Census Tract 4105,15min,0.0533939,17031410500
Census Tract 4106,15min,0.132723,17031410600
Census Tract 4107,15min,0.116974,17031410700
