group,variable,value
min15,17031200401,3.935312769
min15,17031200402,3.753996742
min15,17031210100,15.82208762
min15,17031210400,14.1223549
min15,17031210501,14.60808963
min15,17031210502,13.96373798
min15,17031210601,16.05601666
min15,17031210602,15.3282052
min15,17031210700,15.88965432
min15,17031210800,15.87059319
min15,17031210900,15.83234561
min15,17031220300,15.66726602
min15,17031220400,15.63512691
min15,17031220500,15.29328065
min15,17031220601,14.33245679
min15,17031220602,14.77200196
min15,17031220701,12.96909767
min15,17031220702,13.86593316
min15,17031220901,5.158996629
min15,17031220902,9.737700069
min15,17031221000,12.97952267
min15,17031221100,13.77018215
min15,17031221200,13.54653503
min15,17031221300,14.6463975
min15,17031221400,13.5370449
min15,17031221500,15.50978048
min15,17031221600,15.36893864
min15,17031222200,14.5657742
min15,17031222500,13.78882797
min15,17031222600,13.94054207
min15,17031222700,13.54404784
min15,17031222800,12.57743868
min15,17031222900,12.39009427
min15,17031230100,13.7423662
min15,17031230200,13.57909385
min15,17031230300,13.08018008
min15,17031230400,12.70173345
min15,17031230500,8.373996043
min15,17031230600,7.489962492
min15,17031230700,13.11255994
min15,17031230800,13.05336176
min15,17031230900,13.48608937
min15,17031231100,8.420255818
min15,17031231200,8.727054383
min15,17031231500,11.80844724
min15,17031240200,14.70134001
min15,17031240300,14.53160479
min15,17031240500,14.20747387
min15,17031240600,14.40889802
min15,17031240700,14.12360294
min15,17031240800,14.36938787
min15,17031240900,12.53416876
min15,17031241000,14.31263052
min15,17031241100,14.25567632
min15,17031241200,14.50889165
min15,17031241300,13.78752744
min15,17031241400,13.57598094
min15,17031241500,14.67443601
min15,17031241600,14.75836593
min15,17031242000,14.47940483
min15,17031242100,13.74360647
min15,17031242200,13.2054798
min15,17031242300,13.06028439
min15,17031242400,13.70689852
min15,17031242500,14.17821817
min15,17031242600,12.74060813
min15,17031242700,12.85603728
min15,17031242800,13.91573127
min15,17031242900,14.02874415
min15,17031243000,13.53229652
min15,17031243100,13.579089
min15,17031243200,13.77717017
min15,17031243300,14.11709977
min15,17031243400,14.81380027
min15,17031243500,13.60133201
min15,17031250200,7.534747173
min15,17031250300,3.649728456
min15,17031250400,4.010629618
min15,17031250500,3.441648387
min15,17031250600,4.714649172
min15,17031250700,4.51440315
min15,17031250800,7.634562773
min15,17031251000,12.11202927
min15,17031251100,7.784100633
min15,17031251200,8.225799194
min15,17031251300,11.13866963
min15,17031251400,11.32750022
min15,17031251500,10.97787237
min15,17031251600,11.44172242
min15,17031251700,12.38250477
min15,17031251800,15.91169165
min15,17031251900,12.01300695
min15,17031252000,12.75387553
min15,17031252101,12.87634861
min15,17031252102,16.96451331
min15,17031252201,16.72503029
min15,17031252202,17.74078467
min15,17031260100,15.98536882
min15,17031260200,11.67779806
min15,17031260300,15.59210305
