variable,id,group,value
Census Tract 401,17031500300,min15,2.200320026
Census Tract 403,17031510100,min15,5.412808294
Census Tract 8163,17031510200,min15,5.506038354
Census Tract 8164.01,17031510300,min15,1.762296736
Census Tract 8164.02,17031520100,min15,1.544221042
Census Tract 8166,17031520200,min15,1.541730616
Census Tract 8167,17031520300,min15,1.644721857
Census Tract 8255.03,17031520400,min15,1.624140944
Census Tract 8255.04,17031520500,min15,1.291206079
Census Tract 8255.05,17031520600,min15,1.28818199
Census Tract 8257,17031530100,min15,2.11074567
Census Tract 6603.01,17031530200,min15,2.078347667
Census Tract 2207.01,17031530300,min15,2.95982072
Census Tract 633.02,17031530400,min15,2.154737083
Census Tract 2522.01,17031530501,min15,0.923296226
Census Tract 6603.02,17031530502,min15,1.567341363
Census Tract 7302.02,17031530503,min15,2.445709842
Census Tract 8133.02,17031530600,min15,1.617052078
Census Tract 8137.02,17031540101,min15,1.598893779
Census Tract 8133.01,17031540102,min15,1.860012806
Census Tract 8024.03,17031550100,min15,0.385462441
Census Tract 8030.16,17031550200,min15,1.022652411
Census Tract 8037.01,17031560100,min15,4.829275805
Census Tract 8041.08,17031560200,min15,4.068971391
Census Tract 8047.15,17031560300,min15,3.867900971
Census Tract 8356,17031560400,min15,3.98451707
Census Tract 8400,17031560700,min15,3.283933043
Census Tract 8364,17031560800,min15,2.853199309
Census Tract 8361,17031560900,min15,2.945871656
Census Tract 8346,17031561000,min15,2.891858463
Census Tract 8436,17031561100,min15,2.691720282
Census Tract 619.02,17031570100,min15,3.961278598
Census Tract 301.02,17031570200,min15,4.059242436
Census Tract 301.03,17031570300,min15,3.100383984
Census Tract 307.06,17031570400,min15,3.234690033
Census Tract 306.01,17031570500,min15,2.548512497
Census Tract 812.02,17031580100,min15,7.287927485
Census Tract 633.03,17031580200,min15,7.451838125
Census Tract 2209.01,17031580300,min15,7.259328524
Census Tract 2106.02,17031580400,min15,6.901595873
Census Tract 2206.02,17031580501,min15,6.919575602
Census Tract 2206.01,17031580502,min15,6.702547413
Census Tract 404.01,17031580600,min15,7.050558235
Census Tract 2522.02,17031580700,min15,7.284723987
Census Tract 2521.02,17031580800,min15,6.684592655
Census Tract 7706.01,17031590500,min15,11.6537829
Census Tract 8061.03,17031590600,min15,11.4480341
Census Tract 8026.10,17031590700,min15,14.22549536
Census Tract 8026.09,17031600400,min15,14.68686995
Census Tract 8046.10,17031600600,min15,14.69370511
Census Tract 7702.01,17031600700,min15,11.33804314
Census Tract 8043.08,17031600900,min15,14.45996069
Census Tract 8206.05,17031610300,min15,10.13642087
Census Tract 8363,17031610400,min15,10.79705577
